course_num,source_course_num,dg_id,player_name,event_key,event_completed,year,finish_position,prior_starts
704,510,27774,"Gotterup, Chris",2024-3,2024-02-11,2024,74,0
704,510,27774,"Gotterup, Chris",2025-3,2025-02-09,2025,78,1
704,510,27774,"Gotterup, Chris",2026-3,2026-02-08,2026,1,2
704,510,13562,"Matsuyama, Hideki",2021-3,2021-02-07,2021,42,0
704,510,13562,"Matsuyama, Hideki",2022-3,2022-02-13,2022,8,1
704,510,13562,"Matsuyama, Hideki",2023-3,2023-02-12,2023,29,2
704,510,13562,"Matsuyama, Hideki",2024-3,2024-02-11,2024,22,3
704,510,13562,"Matsuyama, Hideki",2025-3,2025-02-09,2025,25,4
704,510,13562,"Matsuyama, Hideki",2026-3,2026-02-08,2026,2,5
704,510,26649,"Thorbjornsen, Michael",2025-3,2025-02-09,2025,74,0
704,510,26649,"Thorbjornsen, Michael",2026-3,2026-02-08,2026,3,1
704,510,26096,"Bhatia, Akshay",2024-3,2024-02-11,2024,74,0
704,510,26096,"Bhatia, Akshay",2025-3,2025-02-09,2025,32,1
704,510,26096,"Bhatia, Akshay",2026-3,2026-02-08,2026,3,2
704,510,14609,"Kim, Si Woo",2021-3,2021-02-07,2021,50,0
704,510,14609,"Kim, Si Woo",2022-3,2022-02-13,2022,26,1
704,510,14609,"Kim, Si Woo",2023-3,2023-02-12,2023,23,2
704,510,14609,"Kim, Si Woo",2024-3,2024-02-11,2024,12,3
704,510,14609,"Kim, Si Woo",2025-3,2025-02-09,2025,21,4
704,510,14609,"Kim, Si Woo",2026-3,2026-02-08,2026,3,5
704,510,18417,"Scheffler, Scottie",2021-3,2021-02-07,2021,7,0
704,510,18417,"Scheffler, Scottie",2022-3,2022-02-13,2022,1,1
704,510,18417,"Scheffler, Scottie",2023-3,2023-02-12,2023,1,2
704,510,18417,"Scheffler, Scottie",2024-3,2024-02-11,2024,3,3
704,510,18417,"Scheffler, Scottie",2025-3,2025-02-09,2025,25,4
704,510,18417,"Scheffler, Scottie",2026-3,2026-02-08,2026,3,5
704,510,23602,"Hojgaard, Nicolai",2025-3,2025-02-09,2025,36,0
704,510,23602,"Hojgaard, Nicolai",2026-3,2026-02-08,2026,3,1
704,510,19396,"Knapp, Jake",2024-3,2024-02-11,2024,28,0
704,510,19396,"Knapp, Jake",2025-3,2025-02-09,2025,44,1
704,510,19396,"Knapp, Jake",2026-3,2026-02-08,2026,8,2
704,510,17646,"Fitzpatrick, Matt",2022-3,2022-02-13,2022,10,0
704,510,17646,"Fitzpatrick, Matt",2023-3,2023-02-12,2023,29,1
704,510,17646,"Fitzpatrick, Matt",2024-3,2024-02-11,2024,15,2
704,510,17646,"Fitzpatrick, Matt",2025-3,2025-02-09,2025,78,3
704,510,17646,"Fitzpatrick, Matt",2026-3,2026-02-08,2026,9,4
704,510,28309,"Coody, Pierceson",2026-3,2026-02-08,2026,10,0
704,510,18841,"Hovland, Viktor",2022-3,2022-02-13,2022,68,0
704,510,18841,"Hovland, Viktor",2023-3,2023-02-12,2023,42,1
704,510,18841,"Hovland, Viktor",2026-3,2026-02-08,2026,10,2
704,510,22760,"Hisatsune, Ryo",2024-3,2024-02-11,2024,74,0
704,510,22760,"Hisatsune, Ryo",2025-3,2025-02-09,2025,78,1
704,510,22760,"Hisatsune, Ryo",2026-3,2026-02-08,2026,10,2
704,510,16757,"Dou, Zecheng",2026-3,2026-02-08,2026,13,0
704,510,18634,"McNealy, Maverick",2024-3,2024-02-11,2024,6,0
704,510,18634,"McNealy, Maverick",2025-3,2025-02-09,2025,9,1
704,510,18634,"McNealy, Maverick",2026-3,2026-02-08,2026,13,2
704,510,18424,"Roy, Kevin",2026-3,2026-02-08,2026,13,0
704,510,18586,"Smith, Jordan",2026-3,2026-02-08,2026,16,0
704,510,17606,"Berger, Daniel",2021-3,2021-02-07,2021,67,0
704,510,17606,"Berger, Daniel",2022-3,2022-02-13,2022,68,1
704,510,17606,"Berger, Daniel",2024-3,2024-02-11,2024,28,2
704,510,17606,"Berger, Daniel",2025-3,2025-02-09,2025,2,3
704,510,17606,"Berger, Daniel",2026-3,2026-02-08,2026,16,4
704,510,12965,"Fowler, Rickie",2021-3,2021-02-07,2021,67,0
704,510,12965,"Fowler, Rickie",2022-3,2022-02-13,2022,68,1
704,510,12965,"Fowler, Rickie",2023-3,2023-02-12,2023,10,2
704,510,12965,"Fowler, Rickie",2024-3,2024-02-11,2024,74,3
704,510,12965,"Fowler, Rickie",2026-3,2026-02-08,2026,18,4
