course_num,n,slope,intercept,r,t_stat,p_value
872,376,-13.496302,56.944988,-0.382923,-8.016388,0.000000
9,498,-6.089157,50.073811,-0.310632,-7.278159,0.000000
23,494,-4.762126,47.735188,-0.269900,-6.217405,0.000000
500,506,-4.239916,46.848939,-0.240872,-5.571604,0.000000
5,688,-3.492512,49.257637,-0.178924,-4.763160,0.000002
4,682,-3.728546,52.896782,-0.171462,-4.538387,0.000006
14,357,-2.851760,40.829607,-0.166277,-3.177133,0.001488
104,227,-1.027369,75.602576,-0.167134,-2.542773,0.010998
939,72,0.000000,33.236111,0.000000,0.000000,1.000000
241,155,0.000000,56.038710,0.000000,0.000000,1.000000
43,156,0.000000,51.608974,0.000000,0.000000,1.000000
